proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
03,1,DE5C6F,S,R1,S,0003,1779091740,1,0.000000,0.0,1,00,0,0,29651529,0,1,1.000,-37,-37.0,55.00,55.0,904.0,87.0,0,113
03,1,DA782A,S,R2,S,0003,1779091744,2,0.000000,0.0,1,00,0,0,29651529,4,1,1.000,-36,-36.0,56.00,56.0,904.0,88.0,0,113
01,1,E21FB5,S,N1,S,0003,1779091750,3,0.000000,0.0,1,00,0,0,29651529,10,1,1.000,-31,-31.0,61.00,61.0,928.0,93.0,0,116
01,1,1D462D,S,N2,S,0003,1779091760,4,0.000000,0.0,1,00,0,0,29651529,20,1,1.000,-67,-67.0,25.00,25.0,920.0,57.0,0,115
01,1,87BC16,S,N3,S,0003,1779091770,5,0.000000,0.0,1,00,0,0,29651529,30,1,1.000,-61,-61.0,31.00,31.0,928.0,63.0,0,116
02,1,DE5C6F,S,R1-R2-N2,S,0004,1779091800,1,0.000000,0.0,3,00,0,0,29651530,0,3,1.000,-98,-32.7,178.00,59.3,264.0,91.3,0,99
02,1,DA782A,S,R2-N2,S,0004,1779091804,2,0.000000,0.0,2,00,0,0,29651530,4,2,1.000,-96,-48.0,88.00,44.0,376.0,76.0,0,94
02,1,E21FB5,S,N1-R2,S,0004,1779091810,3,0.000000,0.0,2,00,0,0,29651530,10,2,1.000,-76,-38.0,108.00,54.0,380.0,86.0,0,95
01,1,1D462D,S,N2,S,0004,1779091820,4,0.000000,0.0,1,00,0,0,29651530,20,1,1.000,-62,-62.0,30.00,30.0,920.0,62.0,0,115
01,1,87BC16,S,N3,S,0004,1779091830,5,0.000000,0.0,1,00,0,0,29651530,30,1,1.000,-55,-55.0,37.00,37.0,928.0,69.0,0,116
03,1,DE5C6F,S,R1,S,0005,1779091860,1,0.000000,0.0,1,00,0,0,29651531,0,1,1.000,-35,-35.0,57.00,57.0,904.0,89.0,0,113
03,1,DA782A,S,R2,S,0005,1779091864,2,0.000000,0.0,1,00,0,0,29651531,4,1,1.000,-40,-40.0,52.00,52.0,904.0,84.0,0,113
01,1,E21FB5,S,N1,S,0005,1779091870,3,0.000000,0.0,1,00,0,0,29651531,10,1,1.000,-31,-31.0,61.00,61.0,928.0,93.0,0,116
01,1,1D462D,S,N2,S,0005,1779091880,4,0.000000,0.0,1,00,0,0,29651531,20,1,1.000,-62,-62.0,30.00,30.0,920.0,62.0,0,115
