proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
01,1,1D462D,S,N2,S,0001,1779278360,4,0.000000,0.0,1,00,0,0,29654639,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0002,1779278420,4,0.000000,0.0,1,00,0,0,29654640,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0003,1779278480,4,0.000000,0.0,1,00,0,0,29654641,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0004,1779278540,4,0.000000,0.0,1,00,0,0,29654642,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0005,1779278600,4,0.000000,0.0,1,00,0,0,29654643,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0006,1779278660,4,0.000000,0.0,1,00,0,0,29654644,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0007,1779278720,4,0.000000,0.0,1,00,0,0,29654645,20,1,1.000,-38,-38.0,54.00,54.0,928.0,86.0,0,116
01,1,1D462D,S,N2,S,0008,1779278780,4,0.000000,0.0,1,00,0,0,29654646,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,0009,1779278840,4,0.000000,0.0,1,00,0,0,29654647,20,1,1.000,-36,-36.0,56.00,56.0,928.0,88.0,0,116
01,1,1D462D,S,N2,S,000A,1779278900,4,0.000000,0.0,1,00,0,0,29654648,20,1,1.000,-38,-38.0,54.00,54.0,928.0,86.0,0,116
01,1,1D462D,S,N2,S,000B,1779278960,4,0.000000,0.0,1,00,0,0,29654649,20,1,1.000,-83,-83.0,9.00,9.0,928.0,41.0,0,116
01,1,1D462D,S,N2,S,000C,1779279020,4,0.000000,0.0,1,00,0,0,29654650,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,0,116
01,1,1D462D,S,N2,S,000D,1779279080,4,0.000000,0.0,1,00,0,0,29654651,20,1,1.000,-83,-83.0,9.00,9.0,928.0,41.0,0,116
