proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
03,1,DE5C6F,S,R1,S,0001,1779258840,1,0.000000,0.0,1,00,0,0,29654314,0,1,1.000,-73,-73.0,19.00,19.0,904.0,51.0,0,113
03,1,DA782A,S,R2,S,0001,1779258844,2,0.000000,0.0,1,00,0,0,29654314,4,1,1.000,-72,-72.0,20.00,20.0,904.0,52.0,0,113
01,1,E21FB5,S,N1,S,0001,1779258850,3,0.000000,0.0,1,00,0,0,29654314,10,1,1.000,-68,-68.0,24.00,24.0,928.0,56.0,0,116
03,1,DE5C6F,S,R1,S,0002,1779258900,1,0.000000,0.0,1,00,0,0,29654315,0,1,1.000,-74,-74.0,18.00,18.0,904.0,50.0,0,113
03,1,DA782A,S,R2,S,0002,1779258904,2,0.000000,0.0,1,00,0,0,29654315,4,1,1.000,-59,-59.0,33.00,33.0,904.0,65.0,0,113
01,1,E21FB5,S,N1,S,0002,1779258910,3,0.000000,0.0,1,00,0,0,29654315,10,1,1.000,-55,-55.0,37.00,37.0,928.0,69.0,0,116
02,1,1D462D,S,N2-R1,S,0001,1779258920,4,0.000000,0.0,2,00,0,0,29654315,20,2,1.000,-136,-68.0,48.00,24.0,380.0,56.0,1,95
02,1,87BC16,S,N3-R2,S,0001,1779258930,5,0.000000,0.0,2,00,0,0,29654315,30,2,1.000,-148,-74.0,36.00,18.0,380.0,50.0,0,95
03,1,DE5C6F,S,R1,S,0003,1779258960,1,0.000000,0.0,1,00,0,0,29654316,0,1,1.000,-70,-70.0,22.00,22.0,904.0,54.0,0,113
03,1,DA782A,S,R2,S,0003,1779258964,2,0.000000,0.0,1,00,0,0,29654316,4,1,1.000,-70,-70.0,22.00,22.0,904.0,54.0,0,113
01,1,E21FB5,S,N1,S,0003,1779258970,3,0.000000,0.0,1,00,0,0,29654316,10,1,1.000,-79,-79.0,13.00,13.0,928.0,45.0,0,116
02,1,1D462D,S,N2-R1,S,0002,1779258980,4,0.000000,0.0,2,00,0,0,29654316,20,2,1.000,-143,-71.5,41.00,20.5,380.0,52.5,1,95
02,1,87BC16,S,N3-R2,S,0002,1779258990,5,0.000000,0.0,2,00,0,0,29654316,30,2,1.000,-152,-76.0,32.00,16.0,380.0,48.0,0,95
03,1,DE5C6F,S,R1,S,0004,1779259020,1,0.000000,0.0,1,00,0,0,29654317,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0004,1779259024,2,0.000000,0.0,1,00,0,0,29654317,4,1,1.000,-71,-71.0,21.00,21.0,904.0,53.0,0,113
01,1,E21FB5,S,N1,S,0004,1779259030,3,0.000000,0.0,1,00,0,0,29654317,10,1,1.000,-78,-78.0,14.00,14.0,928.0,46.0,0,116
02,1,1D462D,S,N2-R1,S,0003,1779259040,4,0.000000,0.0,2,00,0,0,29654317,20,2,1.000,-136,-68.0,48.00,24.0,380.0,56.0,1,95
02,1,87BC16,S,N3-R2,S,0003,1779259050,5,0.000000,0.0,2,00,0,0,29654317,30,2,1.000,-156,-78.0,28.00,14.0,380.0,46.0,0,95
03,1,DE5C6F,S,R1,S,0005,1779259080,1,0.000000,0.0,1,00,0,0,29654318,0,1,1.000,-74,-74.0,18.00,18.0,904.0,50.0,0,113
03,1,DA782A,S,R2,S,0005,1779259084,2,0.000000,0.0,1,00,0,0,29654318,4,1,1.000,-72,-72.0,20.00,20.0,904.0,52.0,0,113
02,1,E21FB5,S,N1-R1,S,0005,1779259090,3,0.000000,0.0,2,00,0,0,29654318,10,2,1.000,-150,-75.0,34.00,17.0,380.0,49.0,0,95
