proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
02,1,1D462D,S,N2-R1,S,0016,1779253160,4,0.000000,0.0,2,00,0,0,29654219,20,2,1.000,-142,-71.0,42.00,21.0,380.0,53.0,1,95
03,1,DE5C6F,S,R1,S,0010,1779253200,1,0.000000,0.0,1,00,0,0,29654220,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,0017,1779253220,4,0.000000,0.0,2,00,0,0,29654220,20,2,1.000,-141,-70.5,43.00,21.5,380.0,53.5,1,95
03,1,DE5C6F,S,R1,S,0011,1779253260,1,0.000000,0.0,1,00,0,0,29654221,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,0018,1779253280,4,0.000000,0.0,2,00,0,0,29654221,20,2,1.000,-141,-70.5,43.00,21.5,380.0,53.5,1,95
03,1,DE5C6F,S,R1,S,0012,1779253320,1,0.000000,0.0,1,00,0,0,29654222,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,0019,1779253340,4,0.000000,0.0,2,00,0,0,29654222,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,0013,1779253380,1,0.000000,0.0,1,00,0,0,29654223,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R1,S,001A,1779253400,4,0.000000,0.0,2,00,0,0,29654223,20,2,1.000,-139,-69.5,45.00,22.5,380.0,54.5,1,95
03,1,DE5C6F,S,R1,S,0014,1779253440,1,0.000000,0.0,1,00,0,0,29654224,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R1,S,001B,1779253460,4,0.000000,0.0,2,00,0,0,29654224,20,2,1.000,-139,-69.5,45.00,22.5,380.0,54.5,1,95
03,1,DE5C6F,S,R1,S,0015,1779253500,1,0.000000,0.0,1,00,0,0,29654225,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,001C,1779253520,4,0.000000,0.0,2,00,0,0,29654225,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,0016,1779253560,1,0.000000,0.0,1,00,0,0,29654226,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,001D,1779253580,4,0.000000,0.0,2,00,0,0,29654226,20,2,1.000,-139,-69.5,45.00,22.5,380.0,54.5,1,95
03,1,DE5C6F,S,R1,S,0017,1779253620,1,0.000000,0.0,1,00,0,0,29654227,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,001E,1779253640,4,0.000000,0.0,2,00,0,0,29654227,20,2,1.000,-139,-69.5,45.00,22.5,380.0,54.5,1,95
03,1,DE5C6F,S,R1,S,0018,1779253680,1,0.000000,0.0,1,00,0,0,29654228,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,001F,1779253700,4,0.000000,0.0,2,00,0,0,29654228,20,2,1.000,-139,-69.5,45.00,22.5,380.0,54.5,1,95
03,1,DE5C6F,S,R1,S,0019,1779253740,1,0.000000,0.0,1,00,0,0,29654229,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,0020,1779253760,4,0.000000,0.0,2,00,0,0,29654229,20,2,1.000,-141,-70.5,43.00,21.5,380.0,53.5,1,95
