proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
03,1,DE5C6F,S,R1,S,0001,1779255480,1,0.000000,0.0,1,00,0,0,29654258,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,0001,1779255484,2,0.000000,0.0,1,00,0,0,29654258,4,1,1.000,-78,-78.0,14.00,14.0,904.0,46.0,0,113
03,1,DE5C6F,S,R1,S,0002,1779255540,1,0.000000,0.0,1,00,0,0,29654259,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
03,1,DA782A,S,R2,S,0002,1779255544,2,0.000000,0.0,1,00,0,0,29654259,4,1,1.000,-77,-77.0,15.00,15.0,904.0,47.0,0,113
02,1,1D462D,S,N2-R1,S,0001,1779255560,4,0.000000,0.0,2,00,0,0,29654259,20,2,1.000,-137,-68.5,47.00,23.5,380.0,55.5,1,95
03,1,DE5C6F,S,R1,S,0003,1779255600,1,0.000000,0.0,1,00,0,0,29654260,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0003,1779255604,2,0.000000,0.0,1,00,0,0,29654260,4,1,1.000,-77,-77.0,15.00,15.0,904.0,47.0,0,113
02,1,1D462D,S,N2-R1,S,0002,1779255620,4,0.000000,0.0,2,00,0,0,29654260,20,2,1.000,-136,-68.0,48.00,24.0,380.0,56.0,1,95
03,1,DE5C6F,S,R1,S,0004,1779255660,1,0.000000,0.0,1,00,0,0,29654261,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0004,1779255664,2,0.000000,0.0,1,00,0,0,29654261,4,1,1.000,-77,-77.0,15.00,15.0,904.0,47.0,0,113
01,1,1D462D,S,N2,S,0003,1779255680,4,0.000000,0.0,1,00,0,0,29654261,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,1,116
03,1,DE5C6F,S,R1,S,0005,1779255720,1,0.000000,0.0,1,00,0,0,29654262,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
03,1,DA782A,S,R2,S,0005,1779255724,2,0.000000,0.0,1,00,0,0,29654262,4,1,1.000,-76,-76.0,16.00,16.0,904.0,48.0,0,113
02,1,1D462D,S,N2-R1,S,0004,1779255740,4,0.000000,0.0,2,00,0,0,29654262,20,2,1.000,-137,-68.5,47.00,23.5,380.0,55.5,1,95
03,1,DE5C6F,S,R1,S,0006,1779255780,1,0.000000,0.0,1,00,0,0,29654263,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
