srcIdHex,alias,pkts,lost,lossPct,avgRssi,avgSnr,avgE2ELat,avgLatHop,avgThroughput,avgLinkMargin,avgDistanceM,lastPath,droppedFragments
1D462D,N2,50,0,0.0,-69.6,22.4,1.94,1.0,412.88,54.4,0.0,N2-R2,125
DA782A,R2,52,0,0.0,-76.712,15.288,1.0,1.0,904.0,47.288,0.0,R2,125
DE5C6F,R1,22,0,0.0,-79.864,12.136,1.0,1.0,904.0,44.136,0.0,R1,125
