proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
03,1,DE5C6F,S,R1,S,0001,1779254040,1,0.000000,0.0,1,00,0,0,29654234,0,1,1.000,-77,-77.0,15.00,15.0,904.0,47.0,0,113
03,1,DA782A,S,R2,S,0001,1779254044,2,0.000000,0.0,1,00,0,0,29654234,4,1,1.000,-74,-74.0,18.00,18.0,904.0,50.0,0,113
03,1,DE5C6F,S,R1,S,0002,1779254100,1,0.000000,0.0,1,00,0,0,29654235,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,0002,1779254104,2,0.000000,0.0,1,00,0,0,29654235,4,1,1.000,-74,-74.0,18.00,18.0,904.0,50.0,0,113
01,1,1D462D,S,N2,S,0001,1779254120,4,0.000000,0.0,1,00,0,0,29654235,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,1,116
03,1,DE5C6F,S,R1,S,0003,1779254160,1,0.000000,0.0,1,00,0,0,29654236,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,0003,1779254164,2,0.000000,0.0,1,00,0,0,29654236,4,1,1.000,-74,-74.0,18.00,18.0,904.0,50.0,0,113
01,1,1D462D,S,N2,S,0002,1779254180,4,0.000000,0.0,1,00,0,0,29654236,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,1,116
03,1,DE5C6F,S,R1,S,0004,1779254220,1,0.000000,0.0,1,00,0,0,29654237,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,0004,1779254224,2,0.000000,0.0,1,00,0,0,29654237,4,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R2,S,0003,1779254240,4,0.000000,0.0,2,00,0,0,29654237,20,2,1.000,-143,-71.5,41.00,20.5,380.0,52.5,1,95
03,1,DE5C6F,S,R1,S,0005,1779254280,1,0.000000,0.0,1,00,0,0,29654238,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0005,1779254284,2,0.000000,0.0,1,00,0,0,29654238,4,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R2,S,0004,1779254300,4,0.000000,0.0,2,00,0,0,29654238,20,2,1.000,-144,-72.0,40.00,20.0,380.0,52.0,1,95
03,1,DE5C6F,S,R1,S,0006,1779254340,1,0.000000,0.0,1,00,0,0,29654239,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0006,1779254344,2,0.000000,0.0,1,00,0,0,29654239,4,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R2,S,0005,1779254360,4,0.000000,0.0,2,00,0,0,29654239,20,2,1.000,-145,-72.5,39.00,19.5,380.0,51.5,1,95
03,1,DE5C6F,S,R1,S,0007,1779254400,1,0.000000,0.0,1,00,0,0,29654240,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
03,1,DA782A,S,R2,S,0007,1779254404,2,0.000000,0.0,1,00,0,0,29654240,4,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R2,S,0006,1779254420,4,0.000000,0.0,2,00,0,0,29654240,20,2,1.000,-144,-72.0,40.00,20.0,380.0,52.0,1,95
03,1,DE5C6F,S,R1,S,0008,1779254460,1,0.000000,0.0,1,00,0,0,29654241,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,0008,1779254464,2,0.000000,0.0,1,00,0,0,29654241,4,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R2,S,0007,1779254480,4,0.000000,0.0,2,00,0,0,29654241,20,2,1.000,-144,-72.0,40.00,20.0,380.0,52.0,1,95
03,1,DE5C6F,S,R1,S,0009,1779254520,1,0.000000,0.0,1,00,0,0,29654242,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
03,1,DA782A,S,R2,S,0009,1779254524,2,0.000000,0.0,1,00,0,0,29654242,4,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R2,S,0008,1779254540,4,0.000000,0.0,2,00,0,0,29654242,20,2,1.000,-145,-72.5,39.00,19.5,380.0,51.5,1,95
03,1,DE5C6F,S,R1,S,000A,1779254580,1,0.000000,0.0,1,00,0,0,29654243,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
03,1,DA782A,S,R2,S,000A,1779254584,2,0.000000,0.0,1,00,0,0,29654243,4,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R2,S,0009,1779254600,4,0.000000,0.0,2,00,0,0,29654243,20,2,1.000,-147,-73.5,37.00,18.5,380.0,50.5,1,95
03,1,DE5C6F,S,R1,S,000B,1779254640,1,0.000000,0.0,1,00,0,0,29654244,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,000B,1779254644,2,0.000000,0.0,1,00,0,0,29654244,4,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R2,S,000A,1779254660,4,0.000000,0.0,2,00,0,0,29654244,20,2,1.000,-144,-72.0,40.00,20.0,380.0,52.0,1,95
03,1,DE5C6F,S,R1,S,000C,1779254700,1,0.000000,0.0,1,00,0,0,29654245,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,000C,1779254704,2,0.000000,0.0,1,00,0,0,29654245,4,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
01,1,1D462D,S,N2,S,000B,1779254720,4,0.000000,0.0,1,00,0,0,29654245,20,1,1.000,-81,-81.0,11.00,11.0,928.0,43.0,1,116
03,1,DE5C6F,S,R1,S,000D,1779254760,1,0.000000,0.0,1,00,0,0,29654246,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
03,1,DA782A,S,R2,S,000D,1779254764,2,0.000000,0.0,1,00,0,0,29654246,4,1,1.000,-78,-78.0,14.00,14.0,904.0,46.0,0,113
02,1,1D462D,S,N2-R2,S,000C,1779254780,4,0.000000,0.0,2,00,0,0,29654246,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,000E,1779254820,1,0.000000,0.0,1,00,0,0,29654247,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
01,1,1D462D,S,N2,S,000D,1779254840,4,0.000000,0.0,1,00,0,0,29654247,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,1,116
03,1,DE5C6F,S,R1,S,000F,1779254880,1,0.000000,0.0,1,00,0,0,29654248,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
01,1,1D462D,S,N2,S,000E,1779254900,4,0.000000,0.0,1,00,0,0,29654248,20,1,1.000,-81,-81.0,11.00,11.0,928.0,43.0,1,116
03,1,DE5C6F,S,R1,S,0010,1779254940,1,0.000000,0.0,1,00,0,0,29654249,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,000F,1779254960,4,0.000000,0.0,2,00,0,0,29654249,20,2,1.000,-144,-72.0,40.00,20.0,380.0,52.0,1,95
03,1,DE5C6F,S,R1,S,0011,1779255000,1,0.000000,0.0,1,00,0,0,29654250,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
